Original Occupation,Matched ONET Occupation
models demonstrators and product promoters,demonstrators and product promoters
molders and molding machine setters operators and tenders metal and plastic,milling and planing machine setters operators and tenders metal and plastic
molding coremaking and casting machine setters operators and tenders metal and plastic,molding coremaking and casting machine setters operators and tenders metal and plastic
motion picture projectionists,motion picture projectionists
motorboat mechanics and service technicians,motorboat mechanics and service technicians
motorboat operators,motorboat operators
motorcycle mechanics,motorcycle mechanics
multiple machine tool setters operators and tenders metal and plastic,multiple machine tool setters operators and tenders metal and plastic
museum technicians and conservators,museum technicians and conservators
music directors and composers,music directors and composers
musical instrument repairers and tuners,musical instrument repairers and tuners
musicians and singers,musicians and singers
neurologists,neurologists
nuclear medicine technologists,nuclear medicine technologists
nuclear power reactor operators,nuclear power reactor operators
nursing assistants,nursing assistants
nursing instructors and teachers postsecondary,nursing instructors and teachers postsecondary
obstetricians and gynecologists,obstetricians and gynecologists
occupational health and safety specialists,occupational health and safety specialists
occupational health and safety technicians,occupational health and safety technicians
occupational therapy aides,occupational therapy aides
occupational therapy assistants,occupational therapy assistants
operating engineers and other construction equipment operators,operating engineers and other construction equipment operators
ophthalmic laboratory technicians,ophthalmic laboratory technicians
ophthalmic medical technicians,ophthalmic medical technicians
ophthalmologists except pediatric,ophthalmologists except pediatric
oral and maxillofacial surgeons,oral and maxillofacial surgeons
orderlies,orderlies
orthodontists,orthodontists
orthotists and prosthetists,orthotists and prosthetists
other extraction workers,helpers  extraction workers
other machine tool setters operators and tenders metal and plastic,multiple machine tool setters operators and tenders metal and plastic
other production workers,helpers  production workers
outdoor power equipment and other small engine mechanics,outdoor power equipment and other small engine mechanics
painters construction and maintenance,painters construction and maintenance
painting coating and decorating workers,painting coating and decorating workers
paperhangers,paperhangers
patternmakers metal and plastic,patternmakers metal and plastic
patternmakers wood,patternmakers wood
paving surfacing and tamping equipment operators,paving surfacing and tamping equipment operators
pediatricians general,pediatricians general
pesticide handlers sprayers and applicators vegetation,pesticide handlers sprayers and applicators vegetation
petroleum pump system operators refinery operators and gaugers,petroleum pump system operators refinery operators and gaugers
pharmacy technicians,pharmacy technicians
philosophy and religion teachers postsecondary,philosophy and religion teachers postsecondary
physical sciences teachers postsecondary,political science teachers postsecondary
physical therapist aides,physical therapist aides
physical therapist assistants,physical therapist assistants
physicians pathologists,physicians pathologists
physicists,physicists
physics teachers postsecondary,physics teachers postsecondary
pile driver operators,pile driver operators
pipelayers,pipelayers
pipelayers plumbers pipefitters and steamfitters,helpers  pipelayers plumbers pipefitters and steamfitters
plating machine setters operators and tenders metal and plastic,plating machine setters operators and tenders metal and plastic
plumbers pipefitters and steamfitters,plumbers pipefitters and steamfitters
police and sheriff's patrol officers,police and sheriff's patrol officers
police fire and ambulance dispatchers,dispatchers except police fire and ambulance
political science teachers postsecondary,political science teachers postsecondary
political scientists,political scientists
postsecondary teachers,law teachers postsecondary
pourers and casters metal,pourers and casters metal
power distributors and dispatchers,power distributors and dispatchers
power plant operators,power plant operators
preschool teachers except special education,preschool teachers except special education
prosthodontists,prosthodontists
psychiatric aides,psychiatric aides
psychiatric technicians,psychiatric technicians
psychiatrists,psychiatrists
psychology teachers postsecondary,psychology teachers postsecondary
pump operators except wellhead pumpers,pump operators except wellhead pumpers
radio cellular and tower equipment installers and repairers,radio cellular and tower equipment installers and repairers
rail car repairers,rail car repairers
rail yard engineers dinkey operators and hostlers,rail yard engineers dinkey operators and hostlers
railroad brake signal and switch operators and locomotive firers,railroad brake signal and switch operators and locomotive firers
real estate brokers,real estate brokers
real estate sales agents,real estate sales agents
recreation and fitness studies teachers postsecondary,recreation and fitness studies teachers postsecondary
recreation workers,recreation workers
recreational vehicle service technicians,recreational vehicle service technicians
refractory materials repairers except brickmasons,refractory materials repairers except brickmasons
rehabilitation counselors,rehabilitation counselors
rock splitters quarry,rock splitters quarry
rolling machine setters operators and tenders metal and plastic,rolling machine setters operators and tenders metal and plastic
roof bolters mining,roof bolters mining
rotary drill operators oil and gas,rotary drill operators oil and gas
sales managers,sales managers
sales representatives wholesale and manufacturing except technical and scientific products,sales representatives wholesale and manufacturing except technical and scientific products
sales representatives wholesale and manufacturing technical and scientific products,sales representatives wholesale and manufacturing technical and scientific products
secondary school teachers except special and career/technical education,secondary school teachers except special and career/technical education
secretaries and administrative assistants,legal secretaries and administrative assistants
secretaries and administrative assistants except legal medical and executive,secretaries and administrative assistants except legal medical and executive
security guards,security guards
segmental pavers,segmental pavers
self enrichment teachers,self enrichment teachers
semiconductor processing technicians,semiconductor processing technicians
separating filtering clarifying precipitating and still machine setters operators and tenders,separating filtering clarifying precipitating and still machine setters operators and tenders
service unit operators oil and gas,service unit operators oil and gas
service unit operators oil gas and mining,service unit operators oil and gas
set and exhibit designers,set and exhibit designers
sewers hand,sewers hand
shampooers,shampooers
shoe and leather workers and repairers,shoe and leather workers and repairers
shoe machine operators and tenders,shoe machine operators and tenders
signal and track switch repairers,signal and track switch repairers
skincare specialists,skincare specialists
slaughterers and meat packers,slaughterers and meat packers
social work teachers postsecondary,social work teachers postsecondary
sociology teachers postsecondary,sociology teachers postsecondary
soil and plant scientists,soil and plant scientists
sound engineering technicians,sound engineering technicians
special education teachers middle school,special education teachers middle school
special education teachers preschool,special education teachers preschool
special education teachers secondary school,special education teachers secondary school
special effects artists and animators,special effects artists and animators
stonemasons,stonemasons
substance abuse and behavioral disorder counselors,substance abuse and behavioral disorder counselors
substance abuse behavioral disorder and mental health counselors,substance abuse and behavioral disorder counselors
subway and streetcar operators,subway and streetcar operators
supervisors of farming fishing and forestry workers,first line supervisors of farming fishing and forestry workers
supervisors of food preparation and serving workers,first line supervisors of food preparation and serving workers
supervisors of office and administrative support workers,first line supervisors of office and administrative support workers
surgical assistants,surgical assistants
surgical technologists,surgical technologists
surveyors,surveyors
surveyors cartographers and photogrammetrists,cartographers and photogrammetrists
tailors dressmakers and custom sewers,tailors dressmakers and custom sewers
tailors dressmakers and sewers,tailors dressmakers and custom sewers
