Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Computer and information systems managers,564747,10510.0,413250,9263.0,151497,5243.0,26.82564050805051,0.8,103513,1960,107411,1908,95603,2703,89.006712534098,3,2016
Financial managers,1067163,18404.0,506068,10743.0,561095,14469.0,52.578190960518675,1.0,76178,753,100505,689,62089,579,61.77702601860604,0.7,2016
Compensation and benefits managers,17074,2352.0,4254,1016.0,12820,1928.0,75.08492444652688,4.5,71605,4679,93895,15621,70251,5258,(X),(X),2016
Human resources managers,369518,9073.0,143842,5734.0,225676,7354.0,61.07307357151749,1.3,72008,801,77463,4593,70342,1351,90.80722409408362,5.7,2016
Training and development managers,49960,3854.0,23959,2914.0,26001,3042.0,52.04363490792634,4.6,72153,4805,82392,7206,64686,5535,78.51004951937082,9.6,2016
Industrial production managers,220263,7532.0,176191,6559.0,44072,3231.0,20.008807652669763,1.3,76077,1099,77262,1807,70073,4005,90.69529652351737,5.6,2016
Purchasing managers,181255,6560.0,94445,5029.0,86810,4236.0,47.89385120410471,1.6,76501,1625,82307,2505,70023,2812,85.07538848457604,4.3,2016
"Transportation, storage, and distribution managers",222794,7309.0,182671,7383.0,40123,3402.0,18.009012810039767,1.4,52485,1573,52318,1091,54796,3599,104.73641958790473,7.2,2016
"Farmers, ranchers, and other agricultural managers",451680,9794.0,400989,9109.0,50691,3094.0,11.222768331562168,0.6,41404,525,42190,737,30405,1257,72.0668404835269,3.2,2016
Construction managers,573250,12237.0,528329,11869.0,44921,3637.0,7.836197121674663,0.6,71331,693,71907,803,62218,3121,86.52565118834049,4.4,2016
Education administrators,747962,12539.0,282062,8717.0,465900,8797.0,62.28926068436632,0.5,70748,476,80380,827,64509,1589,80.25503856680767,2.1,2016
Architectural and engineering managers,144812,5961.0,131956,5939.0,12856,1857.0,8.87771731624451,1.2,130293,2326,130300,2512,130255,6336,99.96546431312356,5.2,2016
Food service managers,792807,16772.0,436773,11837.0,356034,11181.0,44.90802931861096,1.0,38380,1296,42601,1510,31861,485,74.78932419426773,2.9,2016
Funeral service managers,5733,1040.0,4173,921.0,1560,516.0,27.2108843537415,7.5,60848,6112,60487,8583,61597,10890,(X),(X),2016
