Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Nuclear medicine technologists and medical dosimetrists,26943,3113.0,14393,2346.0,12550,2266.0,46.6,6.5,104521,7689,131394,25775,93870,10535,71.4,16.1,2021
Emergency medical technicians,88636,5854.0,58123,5109.0,30513,3550.0,34.4,3.3,40630,849,41851,1112,36990,1865,88.4,5,2021
Paramedics,87467,5678.0,64508,4952.0,22959,2941.0,26.2,2.9,63302,1853,65407,2132,56062,5376,85.7,8.7,2021
Pharmacy technicians,256901,8305.0,58721,4251.0,198180,7466.0,77.1,1.5,36810,457,38925,1817,36395,484,93.5,4.5,2021
Psychiatric technicians,61750,4712.0,19604,2730.0,42146,3899.0,68.3,3.6,36469,1240,37026,3804,36154,1574,97.6,10.9,2021
Surgical technologists,90035,6387.0,24371,3614.0,65664,5413.0,72.9,3.1,50266,1289,61608,5366,46440,1563,75.4,7,2021
Veterinary technologists and technicians,117122,6426.0,16104,1920.0,101018,5726.0,86.3,1.2,35013,963,37285,4106,34641,1053,92.9,10.6,2021
Dietetic technicians and ophthalmic medical technicians,30248,3167.0,7632,1488.0,22616,3162.0,74.8,6.9,31061,1599,31153,2865,31025,2066,(X),(X),2021
Licensed practical and licensed vocational nurses,423489,13596.0,52778,5176.0,370711,12750.0,87.5,1.1,46591,594,50618,1698,46246,610,91.4,3.3,2021
Medical records specialists,167694,7962.0,16243,3029.0,151451,7096.0,90.3,6.0,45177,875,47499,4570,44958,966,94.7,9.3,2021
"Opticians, dispensing",49403,4462.0,16088,2632.0,33315,3270.0,67.4,2.6,40724,1733,51079,3657,37275,2170,73,6.7,2021
Miscellaneous health technologists and technicians,113049,6429.0,43824,3253.0,69225,5300.0,61.2,3.1,47713,3281,58071,3478,41564,987,71.6,4.6,2021
Other healthcare practitioners and technical occupations,75079,5046.0,28166,3175.0,46913,3734.0,62.5,2.7,60913,2840,66236,6795,57739,4770,87.2,11.5,2021
Service Occupations:,13011311,75653.0,6490753,51576.0,6520558,50166.0,50.1,0.3,33732,162,39859,321,30400,88,76.3,0.7,2021
Healthcare Support Occupations:,2964496,35218.0,476203,13802.0,2488293,31861.0,83.9,0.4,32415,124,35982,422,32091,141,89.2,1.2,2021
Home health aides,261045,12452.0,37340,4036.0,223705,11611.0,85.7,1.8,31199,450,31228,754,31192,519,99.9,2.9,2021
Personal care aides,777894,20315.0,153348,6470.0,624546,18177.0,80.3,1.0,30383,264,32071,628,30010,443,93.6,2.3,2021
Nursing assistants,825238,18306.0,98054,6412.0,727184,16025.0,88.1,2.8,31758,212,35718,756,31457,238,88.1,2,2021
Orderlies and psychiatric aides,43713,5120.0,25610,3866.0,18103,2477.0,41.4,2.9,32579,1762,32585,2667,32573,2349,100,10.9,2021
Occupational therapy assistants and aides,28024,3240.0,6049,1382.0,21975,2760.0,78.4,3.8,46600,3026,50024,6107,45778,3098,(X),(X),2021
Physical therapist assistants and aides,64571,4363.0,21960,2343.0,42611,3864.0,66.0,4.0,50031,1919,51254,1255,47870,3210,93.4,6.7,2021
Massage therapists,44639,4093.0,9449,1796.0,35190,3787.0,78.8,4.4,35944,1524,42708,4556,34995,3160,81.9,11.5,2021
Dental assistants,166272,8066.0,12158,2473.0,154114,7779.0,92.7,1.3,35349,537,40485,4044,35092,615,86.7,8.8,2021
Medical assistants,434436,13203.0,37180,4055.0,397256,12344.0,91.4,0.6,35170,333,40400,1432,34721,546,85.9,3.3,2021
Medical transcriptionists,21218,2378.0,4054,1312.0,17164,2082.0,80.9,3.8,32989,1659,31865,5253,33214,1676,(X),(X),2021
Pharmacy aides,24176,3218.0,5393,1897.0,18783,2864.0,77.7,5.8,36216,1038,37269,5891,35427,2894,(X),(X),2021
Veterinary assistants and laboratory animal caretakers,45388,3773.0,7368,1460.0,38020,3325.0,83.8,2.3,30799,1017,37865,3731,29982,1481,(X),(X),2021
Phlebotomists,89281,5893.0,14720,2368.0,74561,5208.0,83.5,1.9,35139,804,36764,2347,34895,920,94.9,6.6,2021
Other healthcare support workers,138601,7798.0,43520,4281.0,95081,6086.0,68.6,2.1,36665,906,40120,2372,35720,938,89,5.8,2021
Protective Service Occupations:,2657117,32737.0,2103808,28039.0,553309,14645.0,20.8,0.5,60193,529,63543,732,46812,731,73.7,1.3,2021
First-line supervisors of correctional officers,38037,2979.0,27246,3015.0,10791,2053.0,28.4,4.9,67027,6121,69594,6528,61189,10218,87.9,16.8,2021
First-line supervisors of police and detectives,90658,5719.0,75158,5116.0,15500,2313.0,17.1,2.3,89663,4175,95171,5002,71806,5388,75.4,6.9,2021
First-line supervisors of firefighting and prevention workers,45869,3591.0,44566,3607.0,1303,679.0,2.8,1.5,100104,6315,99557,6404,114189,79376,(X),(X),2021
First-line supervisors of security workers,67654,4805.0,48578,4365.0,19076,2716.0,28.2,3.5,59665,4380,61497,5358,51807,8196,84.2,15.2,2021
"First-line supervisors of protective service workers, all other",3374,1131.0,2511,1072.0,863,528.0,25.6,13.1,59926,4461,61125,2574,46241,11673,(X),(X),2021
Firefighters,306801,11661.0,292409,10934.0,14392,2484.0,4.7,0.8,73806,1374,74554,1412,54463,4846,73.1,6.6,2021
Fire inspectors,22483,2765.0,20398,2630.0,2085,841.0,9.3,3.6,68509,3044,67895,3371,71158,6673,(X),(X),2021
Bailiffs,25704,2734.0,16989,2428.0,8715,1599.0,33.9,5.1,58931,7739,66055,2348,44606,3932,67.5,6.4,2021
Correctional officers and jailers,327350,11925.0,237195,9503.0,90155,7146.0,27.5,1.9,52248,805,56480,1191,45026,1489,79.7,3.1,2021
Detectives and criminal investigators,130932,7329.0,96977,6051.0,33955,3492.0,25.9,2.2,83596,3268,91050,2993,66450,2994,73,4.1,2021
Fish and game wardens,5291,1195.0,4761,1117.0,530,387.0,10.0,7.0,61979,8317,61908,8069,68100,47667,(X),(X),2021
Parking enforcement workers,7641,1881.0,5650,1536.0,1991,763.0,26.1,7.7,44115,4173,47224,6139,41396,2323,(X),(X),2021
Police officers,784029,18649.0,669554,16256.0,114475,7731.0,14.6,0.9,72173,842,74280,1161,60876,2332,82,3.4,2021
Animal control workers,7896,1455.0,3906,1015.0,3990,1073.0,50.5,9.9,39742,3734,41419,4142,37345,4757,(X),(X),2021
Private detectives and investigators,89044,6216.0,44556,4094.0,44488,4212.0,50.0,3.2,60876,1909,71473,3151,52880,2523,74,4.8,2021
Security guards and gambling surveillance officers,616334,15860.0,460471,13096.0,155863,8448.0,25.3,1.2,36558,423,37097,475,34713,1286,93.6,3.7,2021
Crossing guards and flaggers,14560,2400.0,8927,1778.0,5633,1478.0,38.7,7.9,35823,3821,33541,3775,40059,4307,(X),(X),2021
Transportation security screeners,35450,3813.0,23246,3102.0,12204,2087.0,34.4,4.6,46291,1361,47374,2279,44589,2855,94.1,7.5,2021
School bus monitors,9389,2207.0,1549,890.0,7840,1964.0,83.5,7.2,30391,4934,32147,8392,28005,7007,(X),(X),2021
Other protective service workers,28621,2811.0,19161,2202.0,9460,1966.0,33.1,6.1,37740,2225,38919,3397,35776,5441,91.9,16.1,2021
Food Preparation and Serving Related Occupations:,2787670,44057.0,1401629,25667.0,1386041,28045.0,49.7,0.6,26981,148,29956,402,25231,209,84.2,1.4,2021
Chefs and head cooks,285785,11477.0,223746,9246.0,62039,5672.0,21.7,1.8,37489,1176,40453,654,30651,823,75.8,2.4,2021
First-line supervisors of food preparation and serving workers,299162,10065.0,123760,6785.0,175402,6783.0,58.6,1.1,31007,471,34569,1619,28844,989,83.4,4.8,2021
Cooks,936526,22662.0,551088,14491.0,385438,14802.0,41.2,1.2,25964,209,27146,290,24030,500,88.5,2.1,2021
Food preparation workers,296630,9791.0,130544,7210.0,166086,7725.0,56.0,1.8,25937,357,27451,841,24441,714,89,3.8,2021
Bartenders,129820,7716.0,60442,5400.0,69378,5598.0,53.4,2.9,32052,918,35039,2405,30846,1198,88,6.9,2021
Fast food and counter workers,177298,8831.0,66255,4782.0,111043,6673.0,62.6,2.1,23260,766,23007,1219,23398,926,101.7,6.7,2021
Waiters and waitresses,433220,14376.0,140264,8042.0,292956,10511.0,67.6,0.9,25806,373,29016,1741,24553,761,84.6,5.7,2021
"Food servers, nonrestaurant",71537,4898.0,22111,2979.0,49426,4152.0,69.1,3.4,26439,1306,28945,3040,25626,1386,88.5,10.5,2021
Dining room and cafeteria attendants and bartender helpers,50134,4399.0,22993,2692.0,27141,3129.0,54.1,4.0,25235,1527,30396,1853,21581,953,71,5.3,2021
Dishwashers,67658,4792.0,51334,4455.0,16324,2112.0,24.1,2.6,23554,1166,24085,1608,22378,1349,92.9,8.4,2021
"Hosts and hostesses, restaurant, lounge, and coffee shop",35297,3878.0,7571,1696.0,27726,3499.0,78.6,4.9,21770,1573,28710,4627,20628,1745,(X),(X),2021
"Food preparation and serving related workers, all other",4603,1417.0,1521,614.0,3082,1181.0,67.0,15.3,22688,7269,23094,10075,22517,9319,(X),(X),2021
Building and Grounds Cleaning and Maintenance Occupations:,3093287,36046.0,2092550,29627.0,1000737,18913.0,32.4,0.5,31615,129,35078,267,26624,252,75.9,0.9,2021
First-line supervisors of housekeeping and janitorial workers,167854,7102.0,106802,5642.0,61052,4713.0,36.4,2.3,42248,1141,49431,2191,33670,1094,68.1,3.7,2021
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",116011,6932.0,109466,6594.0,6545,1593.0,5.6,1.3,46217,1871,46982,2055,38933,5176,(X),(X),2021
Janitors and building cleaners,1399454,25690.0,981038,20586.0,418416,11981.0,29.9,0.7,32124,210,35467,307,26923,359,75.9,1.2,2021
Maids and housekeeping cleaners,568181,14803.0,96535,6978.0,471646,13001.0,83.0,0.7,26117,307,30116,952,25513,349,84.7,2.9,2021
Pest control workers,74021,4667.0,69728,4405.0,4293,1213.0,5.8,1.6,41626,636,42085,706,31838,3345,(X),(X),2021
Landscaping and groundskeeping workers,691036,18583.0,655826,17138.0,35210,3656.0,5.1,0.5,30890,309,30973,317,29237,1755,94.4,5.7,2021
Tree trimmers and pruners,67644,5024.0,64933,5101.0,2711,1075.0,4.0,1.6,41388,1137,41382,1086,43169,15024,(X),(X),2021
Other grounds maintenance workers,9086,1697.0,8222,1701.0,864,468.0,9.5,4.8,36724,2222,36913,2757,31880,6041,(X),(X),2021
Personal Care and Service Occupations:,1508741,23881.0,416563,14176.0,1092178,17680.0,72.4,0.7,31094,241,37026,690,29446,695,79.5,2.3,2021
Supervisors of personal care and service workers,35674,3564.0,16595,2679.0,19079,2448.0,53.5,4.3,45291,2439,51805,5633,40556,2348,78.3,9.6,2021
Animal trainers,31676,3221.0,13254,2134.0,18422,2641.0,58.2,5.9,37058,3611,40392,6083,36008,3865,89.1,16.5,2021
Animal caretakers,128378,7025.0,36597,3113.0,91781,5693.0,71.5,2.1,31085,639,36413,2322,30319,839,83.3,5.8,2021
Gambling services workers,51512,5043.0,26835,2770.0,24677,3689.0,47.9,5.4,41034,1105,45417,2880,37387,2909,82.3,8.3,2021
"Ushers, lobby attendants, and ticket takers",3733,1196.0,2016,760.0,1717,861.0,46.0,17.7,35388,7376,35934,6859,31575,17961,(X),(X),2021
Other entertainment attendants and related workers,49044,4749.0,28637,3579.0,20407,3372.0,41.6,5.6,29933,2107,30548,1535,27661,3850,90.5,13.4,2021
"Embalmers, crematory operators and funeral attendants",10335,2131.0,6768,1690.0,3567,1041.0,34.5,7.1,39518,4021,39867,3529,32098,19980,(X),(X),2021
"Morticians, undertakers, and funeral arrangers",35497,3911.0,24856,3076.0,10641,1958.0,30.0,4.4,54051,2623,58389,4207,49330,7122,84.5,13.6,2021
Barbers,55954,4769.0,45115,4054.0,10839,2313.0,19.4,3.8,30165,2981,29509,3321,31907,7655,108.1,28.7,2021
"Hairdressers, hairstylists, and cosmetologists",286507,11208.0,30220,4456.0,256287,9613.0,89.5,4.8,31311,568,37587,5035,30978,588,82.4,11.2,2021
Manicurists and pedicurists,123761,7308.0,26951,3710.0,96810,6470.0,78.2,2.4,25656,677,28906,3683,25223,747,87.3,11.4,2021
Skincare specialists,31338,3721.0,531,595.0,30807,3614.0,98.3,16.4,32805,4793,4375,24042,33905,4709,(X),(X),2021
Other personal appearance workers,8127,1755.0,526,415.0,7601,1804.0,93.5,9.2,26868,2498,19816,12619,27153,2659,(X),(X),2021
"Baggage porters, bellhops, and concierges",44080,4371.0,32743,3955.0,11337,1856.0,25.7,3.4,36748,992,40623,2119,31944,1788,78.6,6,2021
Tour and travel guides,15882,2832.0,11348,2299.0,4534,1082.0,28.5,4.5,31442,3154,32005,7614,30941,3192,(X),(X),2021
Childcare workers,380451,12777.0,22323,3037.0,358128,11608.0,94.1,4.4,25365,428,26729,2208,25241,468,94.4,8,2021
Exercise trainers and group fitness instructors,68784,6160.0,37229,4297.0,31555,3435.0,45.9,2.8,37083,2136,40525,2274,34850,2821,86,8.5,2021
Recreation workers,79340,5062.0,27914,3462.0,51426,3810.0,64.8,2.4,37256,1220,42330,2267,35835,1040,84.7,5.2,2021
Residential advisors,23022,2576.0,7317,1398.0,15705,2258.0,68.2,6.2,33414,2069,34878,2637,32701,3206,93.8,11.6,2021
"Personal care and service workers, all other",45646,4241.0,18788,2485.0,26858,3274.0,58.8,4.6,32424,2711,32158,3496,32911,3431,102.3,15.4,2021
Sales and Office Occupations:,20746616,91978.0,8433139,58334.0,12313477,60452.0,59.4,0.2,45034,128,53083,467,40877,76,77,0.7,2021
Sales and Related Occupations:,8996896,60477.0,5252747,43549.0,3744149,37707.0,41.6,0.3,51457,147,61244,310,41002,247,66.9,0.5,2021
First-Line supervisors of retail sales workers,2298849,32029.0,1320424,23712.0,978425,19583.0,42.6,0.6,48395,770,53929,920,41124,382,76.3,1.5,2021
First-Line supervisors of non-retail sales workers,897166,16147.0,610963,15198.0,286203,9386.0,31.9,0.9,72046,1115,73379,1583,69760,1997,95.1,3.4,2021
Cashiers,893146,15928.0,269010,10097.0,624136,13407.0,69.9,0.8,25389,253,26830,556,24732,401,92.2,2.4,2021
Counter and rental clerks,40496,3888.0,26857,3291.0,13639,2277.0,33.7,4.6,42595,2631,46174,3792,33505,4697,72.6,11.8,2021
Parts salespersons,94297,5298.0,84895,4948.0,9402,1693.0,10.0,1.7,42354,1419,43555,2320,34860,2380,80,6.9,2021
Retail salespersons,1461348,23291.0,895753,16942.0,565595,14154.0,38.7,0.7,39546,800,46019,740,31679,368,68.8,1.4,2021
Advertising sales agents,86861,6300.0,45286,4170.0,41575,4458.0,47.9,3.8,67398,3591,68208,4258,66313,6583,97.2,11.4,2021
Insurance sales agents,479593,14470.0,235851,9433.0,243742,10638.0,50.8,1.6,56965,1991,73433,2884,48991,2361,66.7,4.1,2021
"Securities, commodities, and financial services sales agents",190335,8338.0,138141,7945.0,52194,3677.0,27.4,1.5,103914,1258,122331,8985,81624,4970,66.7,6.4,2021
Travel agents,24293,3149.0,4592,1039.0,19701,2901.0,81.1,5.7,40650,2286,41642,2983,39970,4165,(X),(X),2021
"Sales representatives of services, except advertising, insurance, financial services, and travel",505285,13805.0,361992,9756.0,143293,7438.0,28.4,1.3,77885,2161,83829,2216,66410,2782,79.2,3.9,2021
"Sales representatives, wholesale and manufacturing",1016867,21626.0,742353,16392.0,274514,10842.0,27.0,0.9,74535,1262,78238,1247,63054,1635,80.6,2.5,2021
"Models, demonstrators, and product promoters",10339,1701.0,4634,1374.0,5705,1433.0,55.2,10.5,36760,4811,39777,3984,33661,7601,(X),(X),2021
Real estate brokers and sales agents,596244,13563.0,282094,8926.0,314150,8814.0,52.7,0.9,71190,2372,81594,2681,62587,1993,76.7,3.5,2021
Sales engineers,49131,4925.0,45512,4680.0,3619,1157.0,7.4,2.2,122715,5192,123271,5911,114306,32814,(X),(X),2021
Telemarketers,17193,3070.0,5619,1168.0,11574,2737.0,67.3,10.4,30956,1397,31373,9153,30846,1697,(X),(X),2021
"Door-to-door sales workers, news and street vendors, and related workers",31726,3120.0,18618,2776.0,13108,1769.0,41.3,3.8,36034,5194,40308,7684,31063,8877,77.1,26.5,2021
"Sales and related workers, all other",303727,11457.0,160153,7734.0,143574,7232.0,47.3,1.6,51533,946,65400,3581,40968,993,62.6,3.8,2021
Office and Administrative Support Occupations:,11749720,70027.0,3180392,33954.0,8569328,56179.0,72.9,0.2,41853,74,47069,306,40842,82,86.8,0.6,2021
First-Line supervisors of office and administrative support workers,946726,16651.0,304098,10500.0,642628,14893.0,67.9,1.0,53772,953,64164,1255,50957,430,79.4,1.7,2021
"Switchboard operators, including answering service",10354,1723.0,2791,1072.0,7563,1390.0,73.0,5.7,33142,1959,37474,3752,31574,1062,(X),(X),2021
Telephone operators,15721,2301.0,3742,1154.0,11979,1937.0,76.2,5.2,34482,2337,36658,9853,33985,2050,(X),(X),2021
"Communications equipment operators, all other",3957,1160.0,1516,563.0,2441,1051.0,61.7,19.5,52359,11498,58549,11311,50620,22000,(X),(X),2021
Bill and account collectors,102016,5759.0,26739,2927.0,75277,5092.0,73.8,2.7,41486,662,45966,1855,40588,909,88.3,4.1,2021
Billing and posting clerks,361880,11827.0,42995,3898.0,318885,11896.0,88.1,1.6,40054,393,45938,1655,39504,529,86,3.3,2021
"Bookkeeping, accounting, and auditing clerks",795654,17200.0,118019,6455.0,677635,14992.0,85.2,0.4,44495,470,46288,1277,44175,547,95.4,2.9,2021
Gambling cage workers,8818,1657.0,1843,864.0,6975,1417.0,79.1,6.1,35100,4046,50925,16058,32404,3912,(X),(X),2021
Payroll and timekeeping clerks,131485,6884.0,18986,2834.0,112499,6492.0,85.6,2.1,48994,1441,46134,2290,49507,1405,107.3,6.1,2021
Procurement clerks,38885,3642.0,17108,2183.0,21777,2726.0,56.0,4.7,58258,4253,66836,7741,50907,2946,76.2,9.9,2021
Tellers,166643,7125.0,23011,3108.0,143632,6378.0,86.2,1.0,32184,337,32236,1037,32173,351,99.8,3.4,2021
"Financial clerks, all other",112437,6856.0,44915,4508.0,67522,4622.0,60.1,1.9,59036,4079,87882,8030,49640,1484,56.5,5.4,2021
Brokerage clerks,6001,1454.0,1003,530.0,4998,1410.0,83.3,12.0,51225,8299,72229,13464,49306,7391,(X),(X),2021
Correspondence clerks,4966,1191.0,1562,851.0,3404,875.0,68.5,6.3,51160,10295,46261,9815,54056,9048,(X),(X),2021
"Court, municipal, and license clerks",70242,5170.0,13809,1940.0,56433,4756.0,80.3,3.3,45099,1357,47084,2963,43756,2475,92.9,7.9,2021
"Credit authorizers, checkers, and clerks",35892,3101.0,7659,1493.0,28233,2909.0,78.7,4.4,49556,3310,61414,12976,46953,2984,76.5,16.9,2021
Customer service representatives,1917725,25724.0,638839,14413.0,1278886,20772.0,66.7,0.6,39116,371,42343,563,37274,281,88,1.3,2021
"Eligibility interviewers, government programs",76665,4919.0,18600,2908.0,58065,4254.0,75.7,2.7,46233,1425,50696,3718,44507,2353,87.8,7.9,2021
File clerks,95456,6866.0,21455,2728.0,74001,6519.0,77.5,3.9,39898,1078,42149,5119,38865,1321,92.2,11.6,2021
"Hotel, motel, and resort desk clerks",56704,4500.0,18286,2753.0,38418,3431.0,67.8,2.8,25444,1019,27106,2266,24992,1000,92.2,8.5,2021
"Interviewers, except eligibility and loan",111410,6968.0,23195,2985.0,88215,6317.0,79.2,2.8,36879,918,39961,3648,36429,1057,91.2,8.7,2021
"Library assistants, clerical",35573,3080.0,8358,1544.0,27215,2656.0,76.5,3.4,33300,1954,34905,3750,32900,1985,94.3,11.6,2021
Loan interviewers and clerks,135970,6933.0,30927,3561.0,105043,6285.0,77.3,2.4,49839,2374,52409,2699,47297,1959,90.2,6,2021
New accounts clerks,11400,1794.0,2116,781.0,9284,1739.0,81.4,8.3,40334,4662,46000,8929,39434,4117,(X),(X),2021
Order clerks,57787,5447.0,26958,3167.0,30829,4217.0,53.3,5.3,39311,1618,40665,2186,38364,2142,94.3,7.3,2021
"Human resources assistants, except payroll and timekeeping",54792,4438.0,11408,1800.0,43384,3977.0,79.2,3.4,50316,2163,61114,3061,46472,2272,76,5.3,2021
Receptionists and information clerks,723332,17905.0,75075,5101.0,648257,17218.0,89.6,0.9,32397,250,39724,1749,32109,217,80.8,3.6,2021
Reservation and transportation ticket agents and travel clerks,68619,5140.0,36310,3747.0,32309,3295.0,47.1,3.3,44793,4398,47268,3495,40954,1826,86.6,7.5,2021
"Information and record clerks, all other",71189,5840.0,16324,2772.0,54865,5050.0,77.1,3.2,41975,1043,49902,7942,40965,1008,82.1,13.2,2021
Cargo and freight agents,18867,2993.0,11736,2342.0,7131,1478.0,37.8,5.0,46424,3466,52108,6649,42840,5294,(X),(X),2021
Couriers and messengers,305183,10414.0,250966,8851.0,54217,4699.0,17.8,1.4,38505,1293,40384,634,30975,1259,76.7,3.3,2021
Public safety telecommunicators,89946,6259.0,27486,2847.0,62460,5159.0,69.4,3.1,45535,1155,48224,3029,43746,2704,90.7,8,2021
"Dispatchers, except police, fire, and ambulance",141622,6694.0,68448,4448.0,73174,5256.0,51.7,2.8,42257,828,51474,1163,38628,1217,75,2.9,2021
"Meter readers, utilities",18219,2469.0,16253,2377.0,1966,758.0,10.8,3.9,45564,3111,45770,3897,44848,7003,(X),(X),2021
Postal service clerks,102617,6412.0,47172,4290.0,55445,4557.0,54.0,2.9,56171,2509,61706,1698,51249,1038,83.1,2.8,2021
Postal service mail carriers,294088,9267.0,185765,7786.0,108323,5867.0,36.8,1.6,59603,1291,61092,1057,55941,2257,91.6,4,2021
"Postal service mail sorters, processors, and processing machine operators",47529,4472.0,23007,2789.0,24522,3339.0,51.6,5.1,52055,2218,56416,4937,47716,3296,84.6,9.4,2021
"Production, planning, and expediting clerks",220367,8690.0,111942,6484.0,108425,6406.0,49.2,2.2,57161,1523,64958,2748,50124,1528,77.2,4,2021
"Shipping, receiving, and inventory clerks",456166,10285.0,301877,8597.0,154289,6726.0,33.8,1.3,36835,333,38314,732,34822,972,90.9,3.1,2021
"Weighers, measurers, checkers, and samplers, recordkeeping",49997,4162.0,27212,3267.0,22785,2967.0,45.6,4.6,39229,1699,44502,6108,36110,1482,81.1,11.6,2021
Executive secretaries and executive administrative assistants,233339,8620.0,13167,2093.0,220172,8292.0,94.4,0.7,63646,1280,59589,7282,63982,1334,107.4,13.3,2021
Legal secretaries and administrative assistants,46669,3779.0,1900,762.0,44769,3802.0,95.9,2.5,53487,4499,59135,26828,52933,4384,(X),(X),2021
Medical secretaries and administrative assistants,67982,4596.0,6014,1520.0,61968,4685.0,91.2,3.1,39237,1887,45610,9939,38975,1841,(X),(X),2021
"Secretaries and administrative assistants, except legal, medical, and executive",1541391,24231.0,110655,5908.0,1430736,22433.0,92.8,2.1,41767,188,49636,2441,41478,199,83.6,4.1,2021
Data entry keyers,191759,7980.0,42530,3556.0,149229,7158.0,77.8,1.9,37238,612,38441,2796,37074,619,96.4,7.2,2021
Word processors and typists,21768,2456.0,3559,1226.0,18209,2234.0,83.7,4.0,40683,1223,44606,3512,40286,1416,(X),(X),2021
Desktop publishers,1479,747.0,644,547.0,835,529.0,56.5,21.6,52421,10599,61385,67542,50299,26611,(X),(X),2021
Insurance claims and policy processing clerks,195615,9848.0,36270,4387.0,159345,8157.0,81.5,0.8,41795,551,42562,1820,41528,696,97.6,4.5,2021
"Mail clerks and mail machine operators, except postal service",45381,4047.0,24648,3209.0,20733,2644.0,45.7,4.2,34608,2102,36139,2911,32940,2278,91.1,9.7,2021
"Office clerks, general",772410,14832.0,141925,7496.0,630485,14528.0,81.6,1.0,38574,601,43961,1839,37368,396,85,3.7,2021
"Office machine operators, except computer",26073,3933.0,11563,2702.0,14510,2733.0,55.7,6.3,33780,1486,35857,2199,32311,1531,90.1,7,2021
Proofreaders and copy markers,6018,1152.0,994,483.0,5024,1052.0,83.5,7.1,43281,8921,69583,15761,42016,4945,(X),(X),2021
Statistical assistants,25574,3159.0,12401,2142.0,13173,2160.0,51.5,5.6,57098,3354,65009,6836,52420,3927,80.6,10.4,2021
"Office and administrative support workers, all other",601362,13782.0,144611,7098.0,456751,12740.0,76.0,1.2,46581,674,51543,693,44989,760,87.3,1.9,2021
"Natural Resources, Construction, and Maintenance Occupations:",10065492,57355.0,9645514,55717.0,419978,12069.0,4.2,0.1,49104,365,50056,108,36158,598,72.2,1.2,2021
"Farming, Fishing, and Forestry Occupations:",579905,14701.0,460859,13171.0,119046,6144.0,20.5,1.0,33304,761,35735,538,27443,761,76.8,2.4,2021
"First-line supervisors of farming, fishing, and forestry workers",37652,4204.0,32400,3777.0,5252,1310.0,13.9,3.1,47391,3903,50514,2812,42693,11697,(X),(X),2021
Agricultural inspectors,9045,1457.0,6527,1298.0,2518,787.0,27.8,7.5,52933,6118,55942,8404,50044,5815,(X),(X),2021
Animal breeders,5790,1142.0,3722,959.0,2068,590.0,35.7,7.4,36699,7013,41168,3727,27847,6468,(X),(X),2021
"Graders and sorters, agricultural products",32652,4399.0,13314,2561.0,19338,2963.0,59.2,4.3,29524,2127,31456,2839,27706,2043,88.1,10.3,2021
Miscellaneous agricultural workers,430172,13030.0,345512,11287.0,84660,4885.0,19.7,1.0,31716,329,33071,917,26622,660,80.5,3,2021
Fishing and hunting workers,17760,2424.0,16466,2368.0,1294,562.0,7.3,3.0,42586,7682,47569,9199,26330,5371,(X),(X),2021
Forest and conservation workers,14690,2267.0,12119,2016.0,2571,846.0,17.5,5.1,43284,3820,46099,2960,36859,7493,(X),(X),2021
Logging workers,32144,3030.0,30799,2986.0,1345,605.0,4.2,1.8,40033,3066,40123,3182,38915,16289,(X),(X),2021
Construction and Extraction Occupations:,5491759,45499.0,5327382,44446.0,164377,8588.0,3.0,0.2,46910,243,47149,254,39846,1526,84.5,3.3,2021
First-line supervisors of construction trades and extraction workers,537525,16022.0,518003,16301.0,19522,2636.0,3.6,0.5,63502,1000,64032,987,47932,5048,74.9,8,2021
Boilermakers,11130,1860.0,10413,1812.0,717,521.0,6.4,4.6,61467,6285,62429,4647,35995,1363,(X),(X),2021
"Brickmasons, blockmasons, and stonemasons",87360,5780.0,86464,5730.0,896,537.0,1.0,0.6,42838,3980,43196,4049,21892,24222,(X),(X),2021
Carpenters,774072,17181.0,758376,17270.0,15696,3176.0,2.0,0.4,42914,897,43189,944,39953,5570,92.5,13.1,2021
"Carpet, floor, and tile installers and finishers",80916,6619.0,78582,6316.0,2334,1042.0,2.9,1.3,40321,1460,40542,1145,22109,11341,(X),(X),2021
"Cement masons, concrete finishers, and terrazzo workers",40181,4532.0,39939,4532.0,242,242.0,0.6,0.6,45439,2617,45369,2677,109059,93415,(X),(X),2021
Construction laborers,1174004,25367.0,1134738,24900.0,39266,4442.0,3.3,0.4,40054,464,40213,276,32054,1555,79.7,3.9,2021
Construction equipment operators,302532,11551.0,296972,11317.0,5560,1178.0,1.8,0.4,51586,395,51685,390,32670,4371,(X),(X),2021
"Drywall installers, ceiling tile installers, and tapers",95159,7542.0,92842,7338.0,2317,878.0,2.4,0.9,38973,2466,39364,2355,34665,5090,(X),(X),2021
Electricians,746973,17674.0,732195,17676.0,14778,2265.0,2.0,0.3,56709,1224,56969,1311,48039,7071,84.3,12.6,2021
Glaziers,37025,3877.0,36340,3771.0,685,518.0,1.9,1.4,46533,1843,46878,1970,30419,3584,(X),(X),2021
